# Oracle for `tracs homer-annots`, generated by R 4.6.0.
#
# Produced by running the real summarize_homer_annots() from trackplot.R against
# testdata/H3K27ac.homer.txt and testdata/H3K4me3.homer.txt, then recomputing its
# internal stats expressions so the numbers can be compared directly:
#
#   homer <- summarize_homer_annots(anno = paths, sample_names = NULL)
#   s <- h[, .N, Annotation][, fract := N/sum(N)][order(N, decreasing = TRUE)]
#   wide <- dcast(rbindlist(stats, idcol = "Sample"), Annotation ~ Sample,
#                 value.var = "fract", fill = 0)
#   kept <- wide[names(pie.cols)[names(pie.cols) %in% rownames(wide)], , drop = FALSE]
#
# Two behaviours are recorded here because a port can silently differ:
#   - `fract` divides by sum(N) over ALL annotations, but only the annotations
#     present in the fixed palette are plotted, so the kept fractions sum to
#     less than 1 (0.875 and 0.928571... for this fixture). The `NA` and `ncRNA`
#     categories are the ones dropped.
#     Note the `NA` drop is a quirk rather than a decision: `fread()` reads
#     HOMER's literal NA text as a missing value, and `%in%` never matches NA, so
#     the palette's own `'NA' = 'gray70'` entry is unreachable. With
#     `na.strings = character(0)` the same input keeps `NA` as a string and the
#     entry IS matched, which is what the port's --keep-unannotated does.
#   - Row order is the palette's order, not the data's: 3pUTR, 5pUTR,
#     Intergenic, TTS, exon, intron, non-coding, promoter-TSS.
#
# `count` is the raw N used for the legend label (`Annotation [N]`), and
# `fraction` is the plotted value, both at 17 significant digits.
#
# Regenerate with the expressions above when the oracle needs extending.
annotation	sample	fraction	count	legend
3pUTR	H3K27ac	0.041666666666666664	1	3pUTR [1]
3pUTR	H3K4me3	0.071428571428571425	1	3pUTR [1]
5pUTR	H3K27ac	0.041666666666666664	1	5pUTR [1]
5pUTR	H3K4me3	0.071428571428571425	1	5pUTR [1]
Intergenic	H3K27ac	0.16666666666666666	4	Intergenic [4]
Intergenic	H3K4me3	0.071428571428571425	1	Intergenic [1]
TTS	H3K27ac	0.041666666666666664	1	TTS [1]
TTS	H3K4me3	0.071428571428571425	1	TTS [1]
exon	H3K27ac	0.16666666666666666	4	exon [4]
exon	H3K4me3	0.35714285714285715	5	exon [5]
intron	H3K27ac	0.125	3	intron [3]
intron	H3K4me3	0.14285714285714285	2	intron [2]
non-coding	H3K27ac	0.041666666666666664	1	non-coding [1]
non-coding	H3K4me3	0	NA	NA
promoter-TSS	H3K27ac	0.25	6	promoter-TSS [6]
promoter-TSS	H3K4me3	0.14285714285714285	2	promoter-TSS [2]
