chromosome	start	end	size	ChIP_1	ChIP_2	ChIP_3	Input_1	Input_2
chr1	1000	1500	500	0	28394.64111	20356.333340000001	4730.3704269999998	6570.4787649999998
chr1	1500	2000	500	0	4512.8879539999998	4418.4584670000004	909.04445039999996	915.1677942
chr1	2000	2500	500	0	22055.820609999999	24433.724389999999	5850.7286260000001	6951.9104369999995
chr1	2500	3000	500	0	8275.902666	5562.1610140000003	1693.81754	1578.3543979999999
chr1	3000	3500	500	0	6995.5707860000002	6086.0284830000001	2134.5673350000002	1379.3252150000001
chr1	3500	4000	500	0	8922.7795800000004	11047.168739999999	1773.666894	2654.8459790000002
chr1	4000	4500	500	30399.718639999999	28658.11621	38757.592839999998	11465.79507	4476.3553279999996
chr1	4500	5000	500	37006.391230000001	27395.887750000002	23958.245320000002	7633.1757879999996	6618.7778449999996
chr1	5000	5500	500	42740.940979999999	72365.465849999993	67889.86825	16629.777440000002	21291.079249999999
chr1	5500	6000	500	26046.811020000001	10396.459999999999	10433.1639	3178.6822050000001	2211.093621
chr1	6000	6500	500	60154.928679999997	69086.487290000005	51400.083460000002	14563.092049999999	33510.2912
chr1	6500	7000	500	9587.9791929999992	7764.528491	7965.4476549999999	2637.5742559999999	1902.33059
chr1	7000	7500	500	7795.2632039999999	19370.439060000001	12585.97696	3655.2802310000002	4762.0265429999999
chr1	7500	8000	500	9269.5647219999992	7011.2791310000002	5658.9124339999998	1626.9875850000001	2711.0831280000002
chr1	8000	8500	500	6115.2892510000001	6162.0367809999998	12088.07539	2929.174336	1483.2548509999999
chr1	8500	9000	500	3114.4811679999998	2009.206126	2144.2012329999998	600.11836749999998	483.84020609999999
chr1	9000	9500	500	16296.18404	13871.59857	27027.157220000001	3843.5786560000001	5537.5655100000004
chr1	9500	10000	500	12068.210650000001	24702.182629999999	27963.254130000001	3755.9629409999998	4344.3700879999997
chr1	10000	10500	500	6692.3212290000001	11918.097820000001	8887.6977729999999	2030.7691850000001	1499.718353
chr1	10500	11000	500	10990.476409999999	11160.13942	7271.2068410000002	3568.6407349999999	3502.020939
chr1	11000	11500	500	48023.094369999999	29977.13148	52878.94081	14509.42836	14835.06228
chr1	11500	12000	500	25073.794290000002	16226.985049999999	16099.19742	4190.2268309999999	5830.7828079999999
chr1	12000	12500	500	11411.186540000001	22038.103350000001	22341.841899999999	4424.1853039999996	4190.0189520000004
chr1	12500	13000	500	5252.8636020000004	4386.7884599999998	7510.9873809999999	1177.709175	1926.4416209999999
chr1	13000	13500	500	16102.597680000001	20430.384119999999	22583.947759999999	5015.4363009999997	3607.1252840000002
chr1	13500	14000	500	10560.41308	6251.4379580000004	11985.23661	2811.976439	3826.286083
chr1	14000	14500	500	24807.360840000001	31755.751980000001	31792.11911	6530.3706759999995	5531.0857290000004
chr1	14500	15000	500	53988.634100000003	25713.101200000001	43546.544569999998	10334.09866	11835.042820000001
chr1	15000	15500	500	7160.1457479999999	6661.952851	7067.2485299999998	2180.7664920000002	2117.445455
chr1	15500	16000	500	13466.36371	15605.35909	14200.714819999999	3888.448108	2973.1173469999999
chr1	16000	16500	500	7292.2234779999999	9397.3257410000006	10438.10045	1695.906025	2610.9353820000001
chr1	16500	17000	500	19919.904159999998	14409.67837	17190.542720000001	3395.0797229999998	5390.3411630000001
chr1	17000	17500	500	20472.600880000002	33074.983480000003	26793.966680000001	8534.6519960000005	6563.1715430000004
chr1	17500	18000	500	7843.5468460000002	6481.1714250000005	3870.6737830000002	1848.188099	2209.4911189999998
chr1	18000	18500	500	8497.7457950000007	17963.02176	11853.02685	1830.7437600000001	2440.725512
chr1	18500	19000	500	10272.27009	3709.32591	7211.4408489999996	1659.176882	1911.2282849999999
chr1	19000	19500	500	19934.669569999998	32949.923719999999	36393.861440000001	4974.5837240000001	6182.2154350000001
chr1	19500	20000	500	8013.0737879999997	9942.8125550000004	9933.9652279999991	3402.3485959999998	2680.3995930000001
chr1	20000	20500	500	26562.748189999998	32447.279299999998	63470.384969999999	12712.119619999999	9077.0678439999992
chr1	20500	21000	500	22186.86995	30947.728889999999	14847.19512	3631.551301	4041.3705220000002
chr1	21000	21500	500	14721.092979999999	11246.29768	13018.837519999999	6640.877356	4248.4600389999996
chr1	21500	22000	500	3306.871345	3367.518591	2275.94229	1110.956561	892.5378207
chr1	22000	22500	500	33314.528200000001	16240.01124	26911.928039999999	7465.6973859999998	4112.2443480000002
chr1	22500	23000	500	8939.5982339999991	14114.28219	10349.04326	2621.4678410000001	3936.6102599999999
chr1	23000	23500	500	4057.826857	2537.0882539999998	3918.561393	785.09641180000006	1090.8665080000001
chr1	23500	24000	500	43663.39645	36192.28428	44936.274649999999	9352.0547060000008	15427.30287
chr1	24000	24500	500	7904.3357079999996	11733.90857	8354.2702210000007	3512.5757560000002	2278.4738619999998
chr1	24500	25000	500	18424.0838	24701.993170000002	22097.363600000001	6326.7979180000002	4818.1520959999998
