chromosome	start	end	size	H3K27ac_1	H3K27ac_2	H3K4me3_1	H3K4me3_2	Input_1	Input_2
chr1	1000	1500	500	0	20832.103859999999	7284.1428889999997	4481.40272	2856.7824300000002	2476.5763590000001
chr1	1500	2000	500	0	13918.94404	8211.6903849999999	6395.7729749999999	5066.5570699999998	1834.368363
chr1	2000	2500	500	0	5604.4204390000004	4255.9275200000002	5446.3809300000003	1241.882957	1162.543772
chr1	2500	3000	500	0	3833.892425	1827.9274330000001	2655.185266	1265.0643729999999	1260.8080419999999
chr1	3000	3500	500	0	58857.421909999997	25639.892919999998	51728.464390000001	11125.435579999999	9898.5095089999995
chr1	3500	4000	500	0	1283.796967	549.58901100000003	846.89544799999999	504.19668469999999	492.38907669999998
chr1	4000	4500	500	19336.40914	10814.715889999999	6504.8757560000004	6391.8684629999998	1824.9438689999999	2552.238691
chr1	4500	5000	500	14594.49351	15010.3637	10750.094450000001	8614.8022149999997	4901.1719700000003	3866.4818599999999
chr1	5000	5500	500	21655.253799999999	19168.803599999999	18576.90611	26469.09778	5524.8092049999996	8271.8126090000005
chr1	5500	6000	500	9943.9917970000006	13791.504779999999	6672.3147010000002	9355.1522380000006	5866.6492170000001	6939.7022100000004
chr1	6000	6500	500	32623.580089999999	15565.28803	20565.278129999999	22941.973870000002	5378.4390069999999	6097.6615979999997
chr1	6500	7000	500	6402.2481690000004	6117.5114519999997	6178.902403	4073.4769430000001	2135.430507	1363.608735
chr1	7000	7500	500	3482.5133999999998	3256.3325749999999	1282.610856	2572.8556789999998	841.21088429999998	577.28002279999998
chr1	7500	8000	500	4266.2653380000002	7520.67328	4095.4679529999999	4121.1300300000003	1398.3840049999999	1891.6420720000001
chr1	8000	8500	500	2725.4110150000001	5777.0903689999996	1277.0470330000001	1489.20929	871.57931689999998	664.24459100000001
chr1	8500	9000	500	27975.77867	25736.185529999999	24346.030839999999	19604.23993	6412.1941699999998	8736.3947399999997
chr1	9000	9500	500	17499.64345	11915.960709999999	13863.40042	13665.918610000001	4483.8877510000002	5732.2436150000003
chr1	9500	10000	500	52206.001210000002	35606.36318	22856.20709	29933.607520000001	12281.215410000001	8482.6736789999995
chr1	10000	10500	500	14096.858029999999	17483.104520000001	6794.8368730000002	6859.8636500000002	3431.7140629999999	2913.7903059999999
chr1	10500	11000	500	6757.9603029999998	7682.0335660000001	7285.1200509999999	4281.919433	3904.2017409999999	2761.0200289999998
chr1	11000	11500	500	6596.221243	7693.2821309999999	4240.3081339999999	4779.3942230000002	2156.5986630000002	2202.101482
chr1	11500	12000	500	14862.199979999999	17067.450769999999	14642.12818	12007.605320000001	9997.9492119999995	3586.8455399999998
chr1	12000	12500	500	37708.989930000003	52468.85327	26347.87054	16436.710439999999	6595.6302740000001	9265.463565
chr1	12500	13000	500	17843.604360000001	27150.131290000001	11395.31637	15846.19515	6854.4365749999997	8098.0683349999999
chr1	13000	13500	500	6061.8605889999999	6656.0391310000005	3015.2144119999998	4291.0582299999996	1462.5562010000001	1652.189091
chr1	13500	14000	500	27870.223249999999	19389.23054	14266.88931	12856.09908	6665.6128189999999	7351.6063949999998
chr1	14000	14500	500	4158.7435589999995	3366.6539280000002	1985.9323199999999	2027.8554790000001	756.53742790000001	794.67506060000005
chr1	14500	15000	500	8342.2607009999992	6310.4226609999996	4441.7467930000003	5817.0945060000004	2019.2027579999999	1491.012716
