chromosome	start	end	size	ChIP_1	ChIP_2	ChIP_3	Input_1	Input_2	Input_3
chr1	1000	1500	500	0	56478.155680000003	59540.670480000001	12543.73538	14267.41812	15183.21889
chr1	1500	2000	500	0	9873.3064090000007	18678.951420000001	5659.1614689999997	2466.6292830000002	3895.9426199999998
chr1	2000	2500	500	0	13455.460429999999	6035.8802690000002	1506.695588	2278.0439329999999	1123.4940180000001
chr1	2500	3000	500	0	13806.477730000001	12419.20239	2922.1998039999999	3521.3493389999999	5165.5950000000003
chr1	3000	3500	500	0	35962.395920000003	37517.663030000003	11694.449570000001	8049.2916619999996	9379.6614860000009
chr1	3500	4000	500	0	12855.02125	19689.283449999999	3425.5482919999999	5505.5731560000004	2857.5462689999999
chr1	4000	4500	500	2873.0814310000001	2841.610854	2625.3871100000001	731.91504989999999	603.67877810000005	496.1270111
chr1	4500	5000	500	87962.299830000004	110891.01420000001	124589.1634	43713.899239999999	36062.967550000001	27930.50416
chr1	5000	5500	500	2893.1705139999999	2321.9110390000001	1579.6735530000001	572.51924199999996	501.36682630000001	601.54208059999996
chr1	5500	6000	500	12505.700930000001	14865.66941	17232.225299999998	3959.3793810000002	2825.9826440000002	3329.765652
chr1	6000	6500	500	1914.1152320000001	3010.5737089999998	2300.1092100000001	688.9149304	705.73948489999998	861.51603230000001
chr1	6500	7000	500	7366.0634879999998	6523.378428	7586.4819829999997	903.81789449999997	1530.2215490000001	2169.5239200000001
chr1	7000	7500	500	7103.5909979999997	5779.4824349999999	9790.4420680000003	2672.893188	1293.0561230000001	1352.402306
chr1	7500	8000	500	101436.5174	46396.474260000003	82269.905750000005	14900.17375	13340.48596	15817.87147
chr1	8000	8500	500	4793.3304179999996	5763.4741869999998	5226.7272839999996	1164.767662	886.94199089999995	702.18135559999996
chr1	8500	9000	500	1779.3707010000001	2846.4271960000001	4287.476971	620.37965929999996	582.27688750000004	491.16201769999998
chr1	9000	9500	500	12811.797699999999	14727.47732	6238.2681439999997	2062.2587100000001	2098.8123519999999	2636.514842
chr1	9500	10000	500	18963.32977	20671.157520000001	19726.094239999999	5194.5545599999996	6671.6406129999996	4767.4129409999996
chr1	10000	10500	500	8501.5951380000006	10629.734850000001	9299.214876	2432.4213749999999	3296.4498830000002	3318.0921360000002
chr1	10500	11000	500	10330.4836	19269.580399999999	10381.97712	3177.748059	2133.3724139999999	2557.3791689999998
chr1	11000	11500	500	11173.43564	10385.930050000001	9140.6911080000009	2922.5726199999999	3198.8251409999998	3882.4031420000001
chr1	11500	12000	500	5202.2275380000001	8631.7898499999992	9408.7038369999991	1886.0476719999999	2646.7864119999999	1553.4881519999999
chr1	12000	12500	500	33502.50275	31855.097470000001	26489.04117	8019.4877040000001	8063.6626619999997	5808.7225870000002
chr1	12500	13000	500	7563.3774640000001	5217.9799549999998	5427.5482000000002	1642.7744709999999	1547.913816	2184.6235109999998
chr1	13000	13500	500	6230.2075359999999	9568.7202450000004	8077.105372	1742.982962	1257.587669	1494.441018
chr1	13500	14000	500	11915.10828	5513.9006659999995	15060.14738	1133.2385380000001	3027.565012	2142.7994079999999
chr1	14000	14500	500	67513.900250000006	68898.924280000007	41148.813759999997	9608.8218780000007	9516.528558	18010.016370000001
chr1	14500	15000	500	18883.260119999999	23426.298889999998	12253.671840000001	3721.4033629999999	7311.5519450000002	4277.2348570000004
chr1	15000	15500	500	30161.80574	48424.900399999999	23719.910339999999	10043.87406	11847.113429999999	13051.136409999999
chr1	15500	16000	500	24451.084019999998	9622.3669609999997	27281.607349999998	4635.9286089999996	5380.2145389999996	6757.3865809999998
chr1	16000	16500	500	9580.9692429999996	8301.9542130000009	10669.051869999999	2144.4484470000002	2294.6581390000001	3002.692313
chr1	16500	17000	500	66558.428279999993	128238.31419999999	74651.733290000004	17643.720209999999	16476.653180000001	23136.627550000001
chr1	17000	17500	500	33490.435579999998	21223.64399	36271.46243	5175.6793680000001	3685.3250069999999	4461.3573040000001
chr1	17500	18000	500	70479.787630000006	44502.295630000001	47014.760040000001	23148.482110000001	13882.32843	17050.345229999999
chr1	18000	18500	500	2082.928351	2774.7885670000001	2282.1435059999999	688.85071749999997	548.33558370000003	611.21012940000003
chr1	18500	19000	500	23949.7042	19841.906289999999	30436.450120000001	7963.8647579999997	4405.9270969999998	6710.2285400000001
chr1	19000	19500	500	50971.108090000002	27774.74869	22720.426439999999	10459.259169999999	13990.37102	5753.0062719999996
chr1	19500	20000	500	14611.331389999999	15356.85867	7724.60646	2873.5843749999999	2348.8225080000002	2415.875164
chr1	20000	20500	500	4142.0638300000001	5063.4213730000001	7675.1446100000003	1246.358876	1253.9281149999999	1334.1249290000001
chr1	20500	21000	500	24598.091769999999	21333.427090000001	36783.507599999997	5934.0919270000004	5841.2606500000002	9166.3400669999992
chr1	21000	21500	500	3450.431364	2101.2369859999999	3406.7078940000001	694.26518569999996	703.22782970000003	724.84538520000001
chr1	21500	22000	500	13339.40712	13838.77823	13266.56828	4234.9057300000004	6038.0612970000002	2923.6692979999998
chr1	22000	22500	500	3440.3561669999999	3993.4789390000001	3924.9033599999998	1124.533463	1398.8330579999999	1391.367663
chr1	22500	23000	500	51711.369939999997	48162.362800000003	51896.090889999999	12817.53551	12082.734469999999	7922.1081780000004
chr1	23000	23500	500	3232.4949080000001	4754.4936680000001	5704.5945929999998	1425.071175	1839.751561	1182.1059809999999
chr1	23500	24000	500	5974.2377880000004	15833.503940000001	12952.309310000001	2076.965346	2946.8744969999998	4008.4555169999999
chr1	24000	24500	500	11265.117920000001	12817.61664	12377.16893	2957.7639060000001	3530.199431	4920.0497450000003
chr1	24500	25000	500	8952.8737660000006	9233.1915939999999	8903.2944740000003	2600.9431030000001	4523.5605079999996	2386.611159
chr1	25000	25500	500	5630.2358370000002	5637.3518720000002	6097.2845470000002	2083.6219219999998	1285.3087049999999	1648.0797600000001
chr1	25500	26000	500	46344.555990000001	18888.308789999999	26826.36678	3953.3614499999999	3539.9970830000002	8911.976729
chr1	26000	26500	500	7554.4318480000002	4779.6227699999999	4192.633237	1085.7409299999999	1178.119015	1805.2897069999999
chr1	26500	27000	500	18918.77347	35360.765299999999	14727.850839999999	4909.7074739999998	4316.4433079999999	6945.600614
chr1	27000	27500	500	1968.811297	1725.209329	2520.7264230000001	712.30892300000005	377.68977999999998	559.81491440000002
chr1	27500	28000	500	2817.5213640000002	2278.300851	1910.742675	906.58739630000002	627.23330940000005	865.97846379999999
chr1	28000	28500	500	10246.440430000001	15372.84636	5409.6325109999998	4745.3673859999999	3182.3722419999999	2741.5173669999999
chr1	28500	29000	500	3398.9456129999999	2659.0706719999998	4220.8724860000002	935.54397710000001	845.68932689999997	1980.9261240000001
chr1	29000	29500	500	25721.258969999999	31916.68922	45178.691169999998	11022.3169	8658.1059870000008	7683.0889770000003
chr1	29500	30000	500	13757.034970000001	21606.60369	12381.065199999999	7452.1258699999998	3646.523987	6131.7899189999998
chr1	30000	30500	500	27333.458289999999	21351.878769999999	26138.035070000002	6682.8042169999999	7284.7739549999997	8603.7127349999992
chr1	30500	31000	500	22092.41361	44051.884689999999	16112.74876	7668.9211480000004	8654.673299	9548.0583459999998
chr1	31000	31500	500	13695.134400000001	9212.8791309999997	13683.98616	3137.8276930000002	1275.87798	3947.0105440000002
chr1	31500	32000	500	12487.46027	13658.24107	17383.561969999999	3506.7382689999999	3815.5539389999999	3005.5102729999999
chr1	32000	32500	500	4793.4195630000004	7353.5708130000003	5017.5853429999997	936.71046460000002	1089.5788669999999	1564.8089190000001
chr1	32500	33000	500	30054.06698	16720.745279999999	23142.987779999999	7208.1214520000003	8247.7505600000004	11881.897220000001
chr1	33000	33500	500	10385.62779	7052.8818030000002	11934.426869999999	2997.0475849999998	2978.784858	5355.869635
chr1	33500	34000	500	35339.985390000002	50418.326090000002	47340.793619999997	6570.1302180000002	10169.072889999999	10064.052600000001
chr1	34000	34500	500	13634.21384	26185.92093	16024.76715	4918.864176	4920.7486259999996	4564.536419
chr1	34500	35000	500	22425.165499999999	21255.539130000001	29115.91948	5859.0393880000001	5388.0697499999997	5143.5355129999998
chr1	35000	35500	500	43937.311589999998	63563.715369999998	71743.763030000002	23373.65437	13386.260130000001	13473.17921
