chromosome	start	end	size	H3K27ac_1	H3K27ac_2	Input_1	Input_2
chr1	1000	1500	500	0	31810.389029999998	7780.9609879999998	11097.0895
chr1	1500	2000	500	0	6023.1756820000001	903.70794750000005	923.72029540000005
chr1	2000	2500	500	0	3847.5554550000002	621.48922419999997	1135.4312609999999
chr1	2500	3000	500	0	5767.7144930000004	1607.9772700000001	2270.8454510000001
chr1	3000	3500	500	0	50980.29307	7962.9525560000002	4445.9086429999998
chr1	3500	4000	500	0	4676.1683990000001	1830.3308810000001	787.37165349999998
chr1	4000	4500	500	22604.01628	29284.496319999998	5994.3326209999996	8534.7537990000001
chr1	4500	5000	500	26859.298060000001	29617.65856	6475.0145940000002	7027.9078280000003
chr1	5000	5500	500	4893.519929	3840.414264	911.92188929999998	1146.9157299999999
chr1	5500	6000	500	27964.678510000002	41276.970370000003	14154.001190000001	14140.37969
chr1	6000	6500	500	5069.170091	6408.4514810000001	2105.8672230000002	1726.820622
chr1	6500	7000	500	10660.41668	6454.690756	1809.7115240000001	3675.3924189999998
chr1	7000	7500	500	60481.790029999996	40112.646829999998	8681.0131889999993	10758.26035
chr1	7500	8000	500	234112.91200000001	43576.781040000002	14714.596949999999	21665.96269
chr1	8000	8500	500	8096.7582320000001	8557.4751670000005	1385.7715350000001	1904.8446839999999
chr1	8500	9000	500	3840.791291	4552.2955949999996	963.68441849999999	1004.915154
chr1	9000	9500	500	2761.0438519999998	3490.9806819999999	660.14993040000002	1205.7753929999999
chr1	9500	10000	500	58108.166870000001	33807.962500000001	13107.362230000001	19063.246469999998
chr1	10000	10500	500	10202.91164	13517.260190000001	3471.7642660000001	2429.5357600000002
chr1	10500	11000	500	5759.9324749999996	10140.385560000001	1278.884125	1818.520614
chr1	11000	11500	500	28079.952109999998	25100.058720000001	9161.0257220000003	4335.0715540000001
chr1	11500	12000	500	36426.979700000004	40917.606039999999	6070.3567370000001	7378.5106059999998
chr1	12000	12500	500	27375.871279999999	26030.596669999999	4543.344075	5457.5672850000001
chr1	12500	13000	500	5056.3168009999999	2835.2784670000001	1302.086317	875.40207439999995
chr1	13000	13500	500	13144.214889999999	9176.2063789999993	2845.4062749999998	2465.2298070000002
chr1	13500	14000	500	15081.955449999999	9625.8982039999992	5008.6835860000001	3732.2617639999999
chr1	14000	14500	500	9819.3535119999997	11041.88221	1683.569802	1805.0300950000001
chr1	14500	15000	500	4091.8491949999998	4503.1297619999996	1199.8628470000001	914.58855210000002
chr1	15000	15500	500	24200.574499999999	29101.638999999999	5918.3770839999997	9076.5969000000005
chr1	15500	16000	500	5880.2166040000002	8395.7043749999993	1213.539313	727.70125800000005
chr1	16000	16500	500	5994.2017219999998	14123.492	2852.6397710000001	1787.1841899999999
chr1	16500	17000	500	17639.692439999999	22670.341120000001	7229.4144159999996	4417.7676579999998
chr1	17000	17500	500	22405.697510000002	41005.617290000002	9702.3752490000006	4787.143615
chr1	17500	18000	500	17382.688419999999	12268.23875	3825.7040889999998	3301.0198970000001
chr1	18000	18500	500	7501.3406610000002	6700.0148570000001	2302.7441359999998	1529.2588450000001
chr1	18500	19000	500	42425.359020000004	26057.556809999998	6962.0162730000002	5738.4083760000003
chr1	19000	19500	500	9776.5178159999996	8803.9502009999997	4842.3790600000002	2226.9041069999998
chr1	19500	20000	500	85614.362670000002	130432.5307	19432.68346	37356.550410000003
chr1	20000	20500	500	11437.55118	8510.4133729999994	3044.3877900000002	2024.9528949999999
chr1	20500	21000	500	30729.149809999999	24380.495770000001	4305.5101549999999	6518.8907840000002
chr1	21000	21500	500	1492.265028	2863.030354	323.0139059	573.84020099999998
chr1	21500	22000	500	36964.743009999998	24747.616760000001	13620.95961	5556.9166109999996
chr1	22000	22500	500	7499.0142040000001	8264.6666270000005	3354.5893409999999	2721.8227729999999
chr1	22500	23000	500	26299.703730000001	17460.13826	4268.0100380000003	4557.4243429999997
