PeakID	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak1	chr1	1250	1450	+	11.0000	0.000000	promoter-TSS (NM_000001)	promoter-TSS (detailed)	-490	NM_000001	1001			ENSG00000000001	GENE001		test gene	protein-coding
Peak2	chr1	1500	1700	-	12.0000	0.000000	promoter-TSS (NM_000002)	promoter-TSS (detailed)	-480	NM_000002	1002			ENSG00000000002	GENE002		test gene	protein-coding
Peak3	chr1	1750	1950	+	13.0000	0.000000	exon (NM_000003)	exon (detailed)	-470	NM_000003	1003			ENSG00000000003	GENE003		test gene	protein-coding
Peak4	chr1	2000	2200	-	14.0000	0.000000	exon (NM_000004)	exon (detailed)	-460	NM_000004	1004			ENSG00000000004	GENE004		test gene	protein-coding
Peak5	chr1	2250	2450	+	15.0000	0.000000	exon (NM_000005)	exon (detailed)	-450	NM_000005	1005			ENSG00000000005	GENE005		test gene	protein-coding
Peak6	chr1	2500	2700	-	16.0000	0.000000	exon (NM_000006)	exon (detailed)	-440	NM_000006	1006			ENSG00000000006	GENE006		test gene	protein-coding
Peak7	chr1	2750	2950	+	17.0000	0.000000	exon (NM_000007)	exon (detailed)	-430	NM_000007	1007			ENSG00000000007	GENE007		test gene	protein-coding
Peak8	chr1	3000	3200	-	18.0000	0.000000	intron (NM_000008)	intron (detailed)	-420	NM_000008	1008			ENSG00000000008	GENE008		test gene	protein-coding
Peak9	chr1	3250	3450	+	19.0000	0.000000	intron (NM_000009)	intron (detailed)	-410	NM_000009	1009			ENSG00000000009	GENE009		test gene	protein-coding
Peak10	chr1	3500	3700	-	20.0000	0.000000	Intergenic	Intergenic (detailed)	-400								test gene	
Peak11	chr1	3750	3950	+	21.0000	0.000000	TTS (NM_000011)	TTS (detailed)	-390	NM_000011	1011			ENSG00000000011	GENE011		test gene	protein-coding
Peak12	chr1	4000	4200	-	22.0000	0.000000	5' UTR (NM_000012)	5' UTR (detailed)	-380	NM_000012	1012			ENSG00000000012	GENE012		test gene	protein-coding
Peak13	chr1	4250	4450	+	23.0000	0.000000	3' UTR (NM_000013)	3' UTR (detailed)	-370	NM_000013	1013			ENSG00000000013	GENE013		test gene	protein-coding
Peak14	chr1	4500	4700	-	24.0000	0.000000	ncRNA (NM_000014)	ncRNA (detailed)	-360	NM_000014	1014			ENSG00000000014	GENE014		test gene	ncRNA
